País,Cliques,Impressões,CTR,Posição
Brasil,217,19938,1.09%,4.24
Portugal,2,243,0.82%,4.94
Estados Unidos,1,6720,0.01%,4.87
Reino Unido,1,309,0.32%,5.61
Vietnã,1,81,1.23%,5.8
Malta,1,10,10%,4
Canadá,0,247,0%,4.8
França,0,243,0%,5.46
Argentina,0,216,0%,5.57
Espanha,0,197,0%,5.44
México,0,184,0%,5.36
Indonésia,0,183,0%,5.39
Colômbia,0,178,0%,5.35
Índia,0,173,0%,6.1
Turquia,0,128,0%,5.4
Itália,0,125,0%,5.56
Equador,0,108,0%,5.33
Alemanha,0,86,0%,4.53
Chile,0,75,0%,5.13
Peru,0,75,0%,5.63
Filipinas,0,72,0%,6.35
Malásia,0,68,0%,5.91
Argélia,0,66,0%,5.08
Bangladesh,0,62,0%,6.16
Países Baixos,0,55,0%,5.07
China,0,55,0%,5.69
Marrocos,0,53,0%,5.72
Japão,0,53,0%,6.25
Ucrânia,0,51,0%,5.39
Polônia,0,48,0%,5.08
República Dominicana,0,43,0%,5.86
Grécia,0,39,0%,5.79
Arábia Saudita,0,38,0%,6.03
Hong Kong,0,36,0%,6.5
Irlanda,0,34,0%,5.53
Tailândia,0,32,0%,5.31
Bélgica,0,31,0%,4.71
Taiwan,0,31,0%,4.81
Coréia do Sul,0,31,0%,5.35
Suíça,0,30,0%,3.97
Austrália,0,28,0%,4.39
Hungria,0,28,0%,5.71
Angola,0,27,0%,4.44
Romênia,0,27,0%,4.96
República Tcheca,0,27,0%,5.96
Suécia,0,26,0%,5.38
Sérvia,0,26,0%,6.38
Emirados Árabes Unidos,0,25,0%,3.64
Israel,0,24,0%,5.54
Rússia,0,23,0%,5.52
Bulgária,0,23,0%,5.65
Moçambique,0,22,0%,6.59
Noruega,0,21,0%,3.9
Paquistão,0,21,0%,4.9
Trinidad e Tobago,0,21,0%,5.57
Singapura,0,20,0%,4.9
Venezuela,0,20,0%,5.2
Tunísia,0,20,0%,5.25
Nigéria,0,19,0%,4.11
Egito,0,19,0%,4.53
Paraguai,0,19,0%,5.21
Jamaica,0,18,0%,5.33
Croácia,0,18,0%,6.39
Irã,0,18,0%,6.56
África do Sul,0,16,0%,4.19
Nepal,0,14,0%,5.5
Eslováquia,0,14,0%,6
Iraque,0,13,0%,3.77
Bósnia e Herzegovina,0,13,0%,4.38
Porto Rico,0,13,0%,4.85
Albânia,0,13,0%,5.62
Palestina,0,12,0%,4.33
Guatemala,0,12,0%,4.92
Lituânia,0,12,0%,5
Dinamarca,0,12,0%,5.42
Áustria,0,12,0%,5.92
Uruguai,0,12,0%,6.17
Eslovênia,0,11,0%,4.45
Costa Rica,0,11,0%,5.36
Senegal,0,11,0%,6.45
Camboja,0,10,0%,4.4
Chipre,0,10,0%,5.3
Honduras,0,10,0%,5.7
Bielorrússia,0,10,0%,6
Panamá,0,10,0%,6.1
Barbados,0,9,0%,4.56
Bolívia,0,9,0%,6.11
Finlândia,0,8,0%,3.5
Moldávia,0,8,0%,4.75
Catar,0,8,0%,6
Jordânia,0,8,0%,6.5
Macedônia,0,7,0%,5.43
El Salvador,0,6,0%,2.83
Etiópia,0,6,0%,4.33
Congo-Kinshasa,0,6,0%,5.33
Bahamas,0,6,0%,5.5
Luxemburgo,0,6,0%,5.67
Omã,0,6,0%,11.83
Ilhas Cayman,0,5,0%,4.4
Barein,0,5,0%,4.6
Nicarágua,0,5,0%,5
Geórgia,0,5,0%,6
Cazaquistão,0,5,0%,6.2
Nova Zelândia,0,5,0%,6.4
Líbano,0,5,0%,7.8
Região desconhecida,0,4,0%,1.25
Uzbequistão,0,4,0%,2.75
Belize,0,4,0%,4.25
Islândia,0,4,0%,4.75
Mianmar (Birmânia),0,4,0%,4.75
Mongólia,0,4,0%,6
Quênia,0,4,0%,6.5
Zâmbia,0,3,0%,1.67
Guadalupe,0,3,0%,2.67
Azerbaijão,0,3,0%,4
Gana,0,3,0%,4
Laos,0,3,0%,5.67
Guiana,0,3,0%,6
Costa do Marfim,0,3,0%,6.67
Letônia,0,3,0%,8.33
Afeganistão,0,2,0%,1.5
Cabo Verde,0,2,0%,1.5
Maldivas,0,2,0%,2
Síria,0,2,0%,2
Macau,0,2,0%,3
Ilhas Virgens Americanas,0,2,0%,4
Haiti,0,2,0%,4.5
Uganda,0,2,0%,5
Armênia,0,2,0%,7.5
Kosovo,0,2,0%,8
Ilhas Seychelles,0,2,0%,11
Jersey,0,1,0%,1
Sri Lanka,0,1,0%,1
Tajiquistão,0,1,0%,1
Granada,0,1,0%,2
Guam,0,1,0%,2
Kuwait,0,1,0%,2
Bermudas,0,1,0%,3
Ilhas Maurício,0,1,0%,3
Anguila,0,1,0%,4
Antígua e Barbuda,0,1,0%,4
Países Baixos Caribenhos,0,1,0%,4
Dominica,0,1,0%,4
São Cristóvão e Névis,0,1,0%,4
Papua-Nova Guiné,0,1,0%,4
Camarões,0,1,0%,5
Congo-Brazzaville,0,1,0%,6
Estônia,0,1,0%,6
Líbia,0,1,0%,6
São Vicente e Granadinas,0,1,0%,6
Montenegro,0,1,0%,7
Martinica,0,1,0%,7
Gibraltar,0,1,0%,8
Guiana Francesa,0,1,0%,9
Togo,0,1,0%,10
Ilhas Virgens Britânicas,0,1,0%,10